-1.4,-1.2,-1.1,-1.2,-1.1,-0.9,-0.6,-0.6,-0.5,-0.6,-0.7,-0.8,11,,,,,,,
-0.8,-0.6,-0.2,0.2,0.2,0.4,0.5,0.7,0.8,0.9,0.7,0.6,8,,,,,,,
0.5,0.4,0.4,0.4,0.4,0.2,0,0.1,0.2,0.2,0.2,0.3,5,,,,,,,
0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,7,,,,,,,
0.7,0.4,0,-0.4,-0.5,-0.5,-0.5,-0.7,-0.7,-0.6,-0.5,-0.5,7,,,,,,,
-0.6,-0.6,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-1,-1.4,-1.6,-1.4,9,,,,,,,
-0.9,-0.6,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,4,,,,,,,
-0.3,0,0.3,0.6,0.7,0.9,1,1.2,1.1,1.2,1.3,1.6,3,,,,,,,
1.7,1.5,1.2,0.8,0.7,0.6,0.5,0.4,0.4,0.5,0.6,0.6,7,,,,,,,
0.6,0.5,0.4,0.2,0.1,-0.2,-0.3,-0.3,-0.1,-0.1,-0.1,-0.1,7,,,,,,,
-0.1,-0.2,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.1,0,0,4,,,,,,,
0,0,-0.1,0,0.1,0.2,0.1,-0.1,-0.3,-0.3,-0.2,-0.2,8,,,,,,,
-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,3,,,,,,,
-0.4,-0.2,0.1,0.2,0.2,0.4,0.7,1,1.1,1.2,1.2,1.1,7,,,,,,,
1,0.6,0.1,-0.3,-0.6,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8,6,,,,,,,
-0.5,-0.3,-0.1,0.1,0.4,0.7,1,1.3,1.6,1.7,1.8,1.5,4,,,,,,,
1.3,1,0.9,0.6,0.3,0.2,0.2,0.1,0,-0.1,-0.1,-0.3,7,,,,,,,
-0.4,-0.5,-0.5,-0.5,-0.2,0,0,-0.2,-0.3,-0.4,-0.4,-0.5,6,,,,,,,
-0.7,-0.8,-0.7,-0.5,-0.1,0.2,0.5,0.4,0.3,0.4,0.6,0.8,5,,,,,,,
0.9,1,0.9,0.7,0.6,0.5,0.4,0.5,0.8,0.8,0.8,0.7,12,,,,,,,
0.6,0.4,0.4,0.3,0.1,-0.3,-0.6,-0.8,-0.8,-0.8,-0.9,-1.2,5,,,,,,,
-1.3,-1.3,-1.1,-0.9,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-0.8,6,,,,,,,
-0.7,-0.4,0,0.3,0.6,0.8,1.1,1.3,1.5,1.8,2,1.9,3,,,,,,,
1.7,1.2,0.6,0,-0.4,-0.8,-1,-1.2,-1.4,-1.7,-1.9,-1.9,4,,,,,,,
-1.7,-1.5,-1.2,-1,-0.9,-0.8,-0.6,-0.4,-0.4,-0.6,-0.7,-0.6,4,,,,,,,
-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-1,-1.1,-1.3,-1.4,-1.5,-1.6,6,,,,,,,
-1.5,-1.1,-0.7,-0.4,-0.3,-0.1,0.1,0.3,0.5,0.7,0.8,0.8,6,,,,,,,
0.7,0.6,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.8,5,,,,,,,
0.7,0.4,0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.1,0,5,,,,,,,
0,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.3,0.5,0.5,0.6,6,,,,,,,
0.6,0.5,0.3,0.4,0.5,0.5,0.3,0.2,0,0.1,0.1,0,9,,,,,,,
-0.2,-0.4,-0.4,-0.3,-0.2,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,0,7,,,,,,,
0,0.1,0.2,0.5,0.6,0.7,0.8,1,1.5,1.9,2.1,2.1,2,,,,,,,
2.1,1.8,1.5,1.2,1,0.7,0.3,0,-0.3,-0.6,-0.8,-0.8,3,,,,,,,
-0.5,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3,-0.6,-0.9,-1.1,5,,,,,,,
-0.9,-0.7,-0.7,-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3,7,,,,,,,
-0.4,-0.4,-0.3,-0.2,-0.1,0,0.2,0.4,0.7,0.9,1,1.1,4,,,,,,,
1.1,1.2,1.1,1,0.9,1.1,1.4,1.6,1.6,1.4,1.2,1.1,3,,,,,,,
0.8,0.5,0.1,-0.3,-0.8,-1.2,-1.2,-1.1,-1.2,-1.4,-1.7,-1.8,5,,,,,,,
-1.6,-1.4,-1.1,-0.9,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1,7,,,,,,,
0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,8,,,,,,,
0.4,0.3,0.2,0.2,0.4,0.6,0.7,0.7,0.7,0.8,1.2,1.4,4,,,,,,,
1.6,1.5,1.4,1.2,1,0.8,0.5,0.2,0,-0.1,-0.1,0,4,,,,,,,
0.2,0.3,0.5,0.7,0.8,0.6,0.3,0.2,0.2,0.2,0.1,0.1,4,,,,,,,
0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.9,1,3,,,,,,,
0.9,0.7,0.5,0.3,0.2,0,-0.2,-0.5,-0.7,-0.9,-1,-0.9,11,,,,,,,
-0.9,-0.7,-0.6,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,9,,,,,,,
-0.5,-0.4,-0.2,0.1,0.6,1,1.4,1.7,2,2.2,2.3,2.3,3,,,,,,,
2.1,1.8,1.4,1,0.5,-0.1,-0.7,-1,-1.2,-1.2,-1.3,-1.4,10,,,,,,,
-1.4,-1.2,-1,-0.9,-0.9,-1,-1,-1,-1.1,-1.2,-1.4,-1.6,8,,,,,,,
-1.6,-1.4,-1.1,-0.9,-0.7,-0.7,-0.6,-0.5,-0.6,-0.7,-0.8,-0.8,8,,,,,,,
-0.7,-0.5,-0.4,-0.3,-0.2,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.3,9,,,,,,,
-0.2,0,0.1,0.2,0.4,0.6,0.8,0.8,0.9,1.1,1.2,1.1,4,,,,,,,
0.9,0.7,0.4,0,-0.2,-0.1,0.1,0.2,0.2,0.3,0.3,0.3,7,,,,,,,
0.3,0.3,0.2,0.1,0.2,0.3,0.5,0.6,0.7,0.7,0.6,0.7,9,,,,,,,
0.7,0.6,0.5,0.5,0.3,0.2,0,-0.1,0,-0.2,-0.5,-0.7,15,,,,,,,
-0.7,-0.6,-0.4,-0.2,0,0,0.1,0.3,0.5,0.7,0.9,0.9,5,,,,,,,
0.7,0.4,0.1,-0.1,-0.2,-0.3,-0.4,-0.6,-0.9,-1.1,-1.3,-1.3,6,,,,,,,
-1.4,-1.3,-1.1,-0.9,-0.7,-0.5,-0.4,-0.3,-0.3,-0.4,-0.6,-0.7,8,,,,,,,
-0.7,-0.6,-0.4,-0.1,0.2,0.4,0.5,0.5,0.6,0.9,1.1,1.3,3,,,,,,,
1.3,1.2,0.9,0.5,0,-0.4,-0.9,-1.2,-1.4,-1.5,-1.4,-1.4,12,,,,,,,
-1.3,-1,-0.7,-0.5,-0.4,-0.3,-0.3,-0.6,-0.8,-0.9,-1,-0.9,7,,,,,,,
-0.7,-0.5,-0.4,-0.4,-0.3,-0.1,0.1,0.3,0.3,0.3,0.1,-0.2,10,,,,,,,
-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,2,,,,,,,
-0.5,-0.5,-0.4,-0.2,-0.1,0,-0.1,0,0.1,0.4,0.5,0.6,6,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,